action,date,ticker,signal_date,option_price,stock_price,delta,delta_raw,signal_side,option_qty,stock_position,num_contracts,strike,expiry,dte,entry_cost,rank,prediction,target_weight,target_delta_exposure,per_contract_delta_exposure,exit_reason,days_held,bars_held,realized_pnl,exit_cost
enter,2019-05-21,HD,2019-05-20,3.1500000000000004,191.45,-0.468706,0.468706,-1,-3,140.61180000000002,3,192.5,2019-06-21,31.0,948.0000000000002,29.0,-0.027686154,-1.0,46940.07682819713,8973.37637,,,,,
exit,2019-05-22,HD,,3.05,188.91,,,-1,-3,,3,,,,,,,,,,stop_loss,2.0,2.0,-356.22918517349876,34.3840671735
enter,2019-07-23,KO,2019-07-22,1.15,54.33,0.583482,0.583482,1,1,-58.34819999999999,1,54.0,2019-08-23,31.0,115.99999999999999,1.0,0.0031696586,1.0,46923.70925857736,3170.0577059999996,,,,,
exit,2019-07-25,KO,,0.72,53.78,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,-20.45830652900013,3.724161529
enter,2019-07-30,BP,2019-07-29,0.685,39.99,0.446642,0.446642,1,18,-803.9556,18,40.0,2019-09-20,52.0,1251.0,5.0,0.0019097277,0.5104653774535601,46923.1495929989,1786.121358,,,,,
enter,2019-07-30,PG,2019-07-29,3.0999999999999996,120.41,0.553432,0.553432,1,6,-332.05920000000003,6,120.0,2019-09-20,52.0,1865.9999999999995,6.0,0.0018314226,0.48953462254643976,45941.01264939769,6663.874712,,,,,
exit,2019-08-01,BP,,0.84,39.0,,,1,18,,18,,,,,,,,,,hpr_limit_exit,3.0,3.0,1015.7854158000014,64.0133082
exit,2019-08-01,PG,,3.0999999999999996,120.41,,,1,6,,6,,,,,,,,,,hpr_limit_exit,3.0,3.0,-63.191624136,63.191624136
enter,2019-08-20,HD,2019-08-19,4.25,217.09,-0.48563,0.48563,-1,-4,194.252,4,217.5,2019-09-20,31.0,1704.0,27.0,-0.018831994,-1.0,46972.5983776853,10542.54167,,,,,
exit,2019-08-22,HD,,4.325,220.4,,,-1,-4,,4,,,,,,,,,,hpr_limit_exit,3.0,3.0,589.8970813600004,61.278410640000004
enter,2019-10-17,PM,2019-10-16,2.055,79.85,0.512736,0.512736,1,4,-205.09439999999998,4,80.0,2019-11-22,36.0,826.0000000000001,1.0,0.004615425,1.0,47003.183491673306,4094.1969599999993,,,,,
exit,2019-10-21,PM,,1.96,81.8,,,1,4,,4,,,,,,,,,,stop_loss,3.0,3.0,-460.10619152000066,27.94723152
enter,2019-10-23,BA,2019-10-22,14.975,340.5,-0.514639,0.514639,-1,-2,102.92779999999999,2,340.0,2019-12-20,58.0,2997.0,29.0,-0.026793689,-1.0,46981.28073120131,17523.45795,,,,,
exit,2019-10-25,BA,,13.8,339.83,,,-1,-2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,92.93498839999819,74.3682116
enter,2019-10-29,PFE,2019-10-28,0.955,38.21,0.505785,0.505785,1,24,-1213.884,24,38.0,2019-12-20,52.0,2316.0,4.0,0.0028884993,0.5659744452856993,46990.12542627736,1932.6044850000003,,,,,
enter,2019-10-29,MRK,2019-10-28,2.2249999999999996,85.1,0.527795,0.527795,1,9,-475.0155,9,85.0,2019-12-20,52.0,2011.4999999999998,2.0,0.0031322031,0.43402555471430077,40789.8305084692,4491.535449999999,,,,,
exit,2019-10-31,PFE,,0.955,38.21,,,1,24,,24,,,,,,,,,,hpr_limit_exit,3.0,3.0,-93.03125382,93.03125382
exit,2019-10-31,MRK,,2.2249999999999996,85.1,,,1,9,,9,,,,,,,,,,hpr_limit_exit,3.0,3.0,-69.261909525,69.261909525
enter,2019-11-07,DIS,2019-11-06,4.4,132.96,0.509843,0.509843,1,1,-50.984300000000005,1,133.0,2019-12-13,36.0,441.00000000000006,6.0,0.0024817446,1.0,46990.12542627736,6778.872528000001,,,,,
exit,2019-11-08,DIS,,3.045,137.96,,,1,1,,1,,,,,,,,,,stop_loss,2.0,2.0,-392.61439711200006,10.492397112
enter,2019-11-19,HD,2019-11-18,6.525,225.86,-0.51789,0.51789,-1,-4,207.15599999999998,4,225.0,2020-01-17,59.0,2614.0,30.0,-0.02713508,-1.0,46970.59862628226,11697.06354,,,,,
exit,2019-11-20,HD,,6.275,220.9,,,-1,-4,,4,,,,,,,,,,stop_loss,2.0,2.0,-1003.4241621400015,77.05533014
enter,2020-01-23,PG,2020-01-22,2.915,124.99,0.526742,0.526742,1,7,-368.71940000000006,7,125.0,2020-03-20,57.0,2047.5,1.0,0.002967898,1.0,46924.22268577926,6583.7482580000005,,,,,
exit,2020-01-27,PG,,3.0999999999999996,125.14,,,1,7,,7,,,,,,,,,,hpr_limit_exit,3.0,3.0,-0.8610114240024274,73.936531424
enter,2020-01-29,MSFT,2020-01-28,4.6,168.04,0.53407,0.53407,1,1,-53.407000000000004,1,167.5,2020-02-28,30.0,460.99999999999994,4.0,0.001592064,0.10164122226911032,9539.620059065075,8974.51228,,,,,
exit,2020-01-31,MSFT,,4.6,168.04,,,1,1,,1,,,,,,,,,,hpr_limit_exit,3.0,3.0,-14.687256139999999,14.687256139999999
enter,2020-02-06,PM,2020-02-05,2.33,86.18,-0.536245,0.536245,-1,-1,53.6245,1,86.0,2020-03-13,36.0,234.0,28.0,-0.0022180905,-1.0,46927.90900235096,4621.35941,,,,,
